source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,OPEN THE SCHOOLS!!!,08-04-2020 03:22:56,59281,339972,FALSE,1290488364362170371
Twitter for iPhone,RT @realDonaldTrump: Very excited to see @SeanHannity’s long awaited new book 'Live Free or Die: America (and the World) on the Brink' whi…,08-04-2020 02:38:01,14220,0,TRUE,1290477057709756416
Twitter for iPhone,RT @realDonaldTrump: In an illegal late night coup Nevada’s clubhouse Governor made it impossible for Republicans to win the state. Post O…,08-04-2020 01:41:25,36006,0,TRUE,1290462815891881986
Twitter for iPhone,RT @ericbolling: 5 years ago today....,08-04-2020 01:33:36,4479,0,TRUE,1290460849296019459
Twitter for iPhone,RT @TeamTrump: President @realDonaldTrump: Drug prices are falling for the first time in 51 years thanks to this administration https://t.c…,08-04-2020 01:29:53,8072,0,TRUE,1290459912804368391
Twitter for iPhone,RT @WhiteHouse: President @realDonaldTrump is directing @USDA @HHSGov and @FCC to form a task force that will break down barriers to expa…,08-04-2020 01:29:15,5459,0,TRUE,1290459751885742084
Twitter for iPhone,"RT @TeamTrump: President @realDonaldTrump on the Biden-Sanders Manifesto: ""Biden is now running as the most extreme left-wing candidate in…",08-04-2020 01:28:52,5721,0,TRUE,1290459657199333379
Twitter for iPhone,RT @TeamTrump: President @realDonaldTrump passed Veterans Choice and Veterans Accountability - our Veterans are finally being treated prope…,08-04-2020 01:28:35,5288,0,TRUE,1290459584847654917
Twitter for iPhone,"RT @WhiteHouse: ""We've vastly expanded coverage allowing Medicare to cover more than 135 new services through telehealth."" https://t.co/Uaf…",08-03-2020 22:43:28,6563,0,TRUE,1290418034646163456
Twitter for iPhone,RT @WhiteHouse: President @realDonaldTrump's latest order builds upon a series of actions we've taken to make telehealth available to ALL!…,08-03-2020 22:43:13,5398,0,TRUE,1290417971349925888
Twitter for iPhone,RT @WhiteHouse: President @realDonaldTrump just signed an executive order to ensure telehealth is here to stay! https://t.co/MRaI0vm10S,08-03-2020 22:43:09,6262,0,TRUE,1290417952899182592
Twitter for iPhone,"RT @WhiteHouse: ""I urge all Americans to continue to socially distance wash your hands wear a mask when you cannot avoid crowded places…",08-03-2020 22:25:03,6686,0,TRUE,1290413397490761729
Twitter for iPhone,RT @WhiteHouse: We're beginning to see evidence that the Coronavirus is receding around the country.By the numbers: https://t.co/5xi4wf4Z…,08-03-2020 22:24:59,7207,0,TRUE,1290413383301423105
Twitter for iPhone,RT @WhiteHouse: The coastal areas of North Carolina Virginia Maryland Delaware and New Jersey are expected to see heavy wind and rain o…,08-03-2020 22:24:49,3954,0,TRUE,1290413340116889600
Twitter for iPhone,RT @WhiteHouse: President @realDonaldTrump gives an update on Tropical Storm Isaias: https://t.co/5snaYnZdef,08-03-2020 22:24:48,3727,0,TRUE,1290413335985430528
Twitter for iPhone,RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference https://t.co/sMUGhjnNnI,08-03-2020 21:36:46,5466,0,TRUE,1290401249251270663
Twitter for iPhone,My visits last week to Texas and Florida had massive numbers of cheering people gathered along the roads and highways thousands and thousands even bigger (by far) than the crowds of 2016. Saw no Biden supporters and yet some in the Fake News said it was an equal number. Sad!,08-03-2020 15:27:41,25541,119077,FALSE,1290308363872538624
Twitter for iPhone,RT @realDonaldTrump: FAKE NEWS IS THE ENEMY OF THE PEOPLE!,08-03-2020 13:53:10,81162,0,TRUE,1290284578578419712
Twitter for iPhone,RECORD HIGH NASDAQ! It would all come crashing down including your Jobs Stocks and 401k’s if Sleepy Joe ever became President. China and others would own us!!!,08-03-2020 13:49:25,34125,147839,FALSE,1290283634130214913
Twitter for iPhone,So Crazy Nancy Pelosi said horrible things about Dr. Deborah Birx going after her because she was too positive on the very good job we are doing on combatting the China Virus including Vaccines &amp; Therapeutics. In order to counter Nancy Deborah took the bait &amp; hit us. Pathetic!,08-03-2020 13:44:56,25485,98684,FALSE,1290282508303716352
Twitter for iPhone,Wow! Really bad TV Ratings for Morning Joe (@JoeNBC). @foxandfriends doing great leading all others by far. @CNN not a factor!!!,08-03-2020 12:57:35,15529,74794,FALSE,1290270589945430016
Twitter for iPhone,My visits last week to Texas and Frorida had massive numbers of cheering people gathered along the roads and highways thousands and thousands even bigger (by far) than the crowds of 2016. Saw no Biden supporters and yet some in the Fake News said it was an equal number. Sad!,08-03-2020 12:46:02,12976,59426,FALSE,1290267685117460481
Twitter for iPhone,96% Approval Rating in the Republican Party. 50% in new Rasmussen Poll (higher than Obama at this point in time). Thank you!,08-03-2020 12:22:41,29156,151566,FALSE,1290261807282757632
Twitter for iPhone,Cases up because of BIG Testing! Much of our Country is doing very well. Open the Schools!,08-03-2020 12:03:48,32399,171758,FALSE,1290257055534551043
Twitter for iPhone,FAKE NEWS IS THE ENEMY OF THE PEOPLE!,08-03-2020 11:49:09,81162,394339,FALSE,1290253369404092417
Twitter for iPhone,With the exception of New York &amp; a few other locations we’ve done MUCH better than most other Countries in dealing with the China Virus. Many of these countries are now having a major second wave. The Fake News is working overtime to make the USA (&amp; me) look as bad as possible!,08-03-2020 11:46:24,23276,101051,FALSE,1290252674777133057
